original_value,detected_type,reason,scan_count
https://www.miamofoods.com/sardine/,URL,"QR/URL code, not a product barcode",3
https://youtube.com/qr/zNu7f_FWFpysfhrM5lpYGf,URL,"QR/URL code, not a product barcode",1
https://qrco.de/bgOe0B,URL,"QR/URL code, not a product barcode",1
https://zko.jp/u65bcz,URL,"QR/URL code, not a product barcode",1
http://onelink.to/app-famila,URL,"QR/URL code, not a product barcode",3
qr.ferrerofoodservice.com,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
4055509055040;0.79;;1100;31213302,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
https://qrco.de/bfSsmq,URL,"QR/URL code, not a product barcode",2
http://weixin.qq.com/r/Cy4DG6LEnP-jreZ493sZ,URL,"QR/URL code, not a product barcode",1
https://l66.co/a/35067431295214120687445131976304552,URL,"QR/URL code, not a product barcode",1
111195187,OTHER_NUMERIC,unusual length (9 digits) — needs manual triage,1
1075497,OTHER_NUMERIC,unusual length (7 digits) — needs manual triage,1
https://bit.ly/3E461Zm,URL,"QR/URL code, not a product barcode",2
(90)ML240933048500001,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,3
https://zko.jp/f68d29,URL,"QR/URL code, not a product barcode",4
0104673721478289215cG3=qn1tDKkt938yJ9,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
http://www.bingotukemono.jp/blog/594.html,URL,"QR/URL code, not a product barcode",1
https://bstiqrcode.gov.bd/qr-code/1taQEC737QG8vA9h_dzBuWbC2C47Qg5KeFqzDBf26J0,URL,"QR/URL code, not a product barcode",2
0055810,OTHER_NUMERIC,unusual length (7 digits) — needs manual triage,1
8999099913739,EAN13,failed GS1 check-digit validation — likely a scan error,1
http://www.retina-ltd.com/,URL,"QR/URL code, not a product barcode",1
https://www.mihaohao.vn/?code=009,URL,"QR/URL code, not a product barcode",2
(90)MD655613256019(91)271216,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
193918,OTHER_NUMERIC,unusual length (6 digits) — needs manual triage,1
https://eqrco.de/a/9rVl2K,URL,"QR/URL code, not a product barcode",4
http://weixin.qq.com/r/bUS9pT7EkGPvrXrG9xF-,URL,"QR/URL code, not a product barcode",4
http://zsl.sfood.zjamr.zj.gov.cn/gtin/06951451810028,URL,"QR/URL code, not a product barcode",1
18090400,EAN8,failed GS1 check-digit validation — likely a scan error,1
https://www.merchant-gourmet.com/pages/packaging,URL,"QR/URL code, not a product barcode",2
https://www.merchant-gourmet.com/blogs/recipes/tagged/rice,URL,"QR/URL code, not a product barcode",1
13433902,EAN8,failed GS1 check-digit validation — likely a scan error,3
https://www.eldan-recycling.com/,URL,"QR/URL code, not a product barcode",1
https://tracciabilitamalto.peroni.it/Peroni66cl,URL,"QR/URL code, not a product barcode",2
833990031268,UPC_A,failed GS1 check-digit validation — likely a scan error,1
3990031268,OTHER_NUMERIC,unusual length (10 digits) — needs manual triage,1
http://www.yumyumfoods.com/,URL,"QR/URL code, not a product barcode",5
0104607156604678215Bld9mNOrli+N93s9Y0,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,4
0838991102380805,OTHER_NUMERIC,unusual length (16 digits) — needs manual triage,1
8120118504000599,OTHER_NUMERIC,unusual length (16 digits) — needs manual triage,2
0104690388122577215zNZ&;>S4ncnC93S35I,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
718090442,OTHER_NUMERIC,unusual length (9 digits) — needs manual triage,1
1916191619161916191619161916121001000149,OTHER_NUMERIC,unusual length (40 digits) — needs manual triage,1
https://nes.tl/myws_rsc,URL,"QR/URL code, not a product barcode",1
622210659408,UPC_A,failed GS1 check-digit validation — likely a scan error,1
(90)MD242811003400677,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
(90)MD242835003000396,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,3
0108806718056221,OTHER_NUMERIC,unusual length (16 digits) — needs manual triage,1
XUANDI,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
971505796734208270005632,OTHER_NUMERIC,unusual length (24 digits) — needs manual triage,1
010340093031787721133E5Y117AXX021728063010A1A5512A2,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,1
https://zs.yishutec.com/01/06952037103824,URL,"QR/URL code, not a product barcode",1
(90)MD242839004600652,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
75752800527,OTHER_NUMERIC,unusual length (11 digits) — needs manual triage,1
75752805017,OTHER_NUMERIC,unusual length (11 digits) — needs manual triage,1
https://qr.generatorqr.com/4gyg3m7bc,URL,"QR/URL code, not a product barcode",1
https://www.toyobo.co.jp/seihin/film/package/genpla.html,URL,"QR/URL code, not a product barcode",3
0104690388121068215s.k%Utca%GGU93bEeX,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,2
9600006016644122,OTHER_NUMERIC,unusual length (16 digits) — needs manual triage,1
08999999,EAN8,failed GS1 check-digit validation — likely a scan error,1
www.sunrisewater.vn,NON_NUMERIC,contains non-digit characters — likely internal SKU/RFID,4
(90)ML835609645008(91)270306,GS1_DATAMATRIX,GS1 Application Identifier code (pharma/cosmetic) — route to separate queue,1
01062641260,OTHER_NUMERIC,unusual length (11 digits) — needs manual triage,1
https://safi.com.my/hijab-scalp-microbiome-technology/,URL,"QR/URL code, not a product barcode",3
90995112337,OTHER_NUMERIC,unusual length (11 digits) — needs manual triage,1
https://com.continente.pt/uxLQft,URL,"QR/URL code, not a product barcode",4
https://www.sanbenedetto.es/es/default.asp,URL,"QR/URL code, not a product barcode",1
https://cowandgate.club/c800,URL,"QR/URL code, not a product barcode",1
